pelanggan_id,nama_pelanggan,kota,tanggal_daftar,segmen
P00001,Joko Permana,Semarang,2025-04-17,Member
P00002,Indra Pratama,Surabaya,2024-11-17,Member
P00003,Zaki Nugroho,Semarang,2023-12-26,Reguler
P00004,Kirana Pratama,Bekasi,2024-02-18,Reguler
P00005,Okta Aditya,Surabaya,2023-10-30,Reguler
P00006,Citra Permana,Semarang,2023-10-07,Reguler
P00007,Bayu Suryani,Malang,2024-09-22,Member
P00008,Oki Permana,Tangerang Selatan,2024-02-09,Reguler
P00009,Sari Setiawan,Tangerang Selatan,2025-02-09,Reguler
P00010,Mila Maulana,Semarang,2025-06-04,Member
P00011,Kartika Kusuma,Semarang,2025-01-11,Reguler
P00012,Kirana Maulana,Malang,2023-12-31,Member
P00013,Putri Firmansyah,Depok,2025-01-29,Member
P00014,Maya Rahayu,Jakarta Barat,2023-06-12,Member
P00015,Lestari Gunawan,Yogyakarta,2025-01-22,Reguler
P00016,Zaki Halim,Yogyakarta,2024-10-08,Reguler
P00017,Budi Saputra,Bandung,2024-01-06,Reguler
P00018,Mila Suryani,Jakarta Barat,2024-05-14,Member
P00019,Maya Permana,Jakarta Selatan,2024-07-18,Member
P00020,Putri Gunawan,Jakarta Selatan,2023-12-29,Member
P00021,Gita Kusuma,Jakarta Selatan,2023-06-20,Member
P00022,Irfan Nugroho,Surabaya,2023-05-13,Reguler
P00023,Citra Setiawan,Depok,2024-05-05,Reguler
P00024,Fajar Pratama,Bekasi,2025-09-19,Member
P00025,Vina Saputra,Bandung,2024-06-29,Reguler
P00026,Dian Puspita,Yogyakarta,2024-03-18,Reguler
P00027,Okta Permana,Jakarta Barat,2025-08-25,Reguler
P00028,Wahyu Maulana,Depok,2024-09-15,Premium
P00029,Adi Hartono,Yogyakarta,2025-09-06,Reguler
P00030,Hesti Firmansyah,Denpasar,2024-03-28,Premium
P00031,Gita Hartono,Denpasar,2024-10-12,Premium
P00032,Oki Santoso,Yogyakarta,2024-02-05,Member
P00033,Tono Wijaya,Semarang,2023-03-09,Reguler
P00034,Nanda Anggraini,Depok,2024-09-24,Reguler
P00035,Bayu Saputra,Bekasi,2025-01-07,Member
P00036,Rangga Saputra,Bekasi,2023-08-01,Member
P00037,Bayu Lestari,Jakarta Selatan,2023-11-13,Premium
P00038,Adi Lestari,Surabaya,2023-10-03,Member
P00039,Galih Santoso,Tangerang Selatan,2023-11-26,Member
P00040,Bayu Setiawan,Semarang,2025-07-25,Reguler
P00041,Fajar Santoso,Tangerang Selatan,2025-02-07,Reguler
P00042,Dewi Santoso,Bandung,2024-04-26,Reguler
P00043,Yanti Puspita,Bandung,2023-02-28,Member
P00044,Udin Puspita,Tangerang Selatan,2024-12-16,Reguler
P00045,Naufal Lestari,Depok,2023-06-24,Reguler
P00046,Putri Lestari,Depok,2023-10-01,Reguler
P00047,Hesti Rahayu,Jakarta Selatan,2025-04-24,Member
P00048,Nanda Kusuma,Bandung,2024-11-26,Member
P00049,Vina Setiawan,Yogyakarta,2024-03-22,Reguler
P00050,Dian Rahayu,Bandung,2024-02-09,Member
P00051,Gita Nugroho,Jakarta Selatan,2023-08-15,Reguler
P00052,Mila Lestari,Surabaya,2023-05-09,Member
P00053,Naufal Saputra,Bandung,2023-01-05,Reguler
P00054,Nanda Saputra,Jakarta Selatan,2023-05-31,Reguler
P00055,Fajar Saputra,Denpasar,2024-11-02,Reguler
P00056,Maya Wijaya,Jakarta Barat,2025-01-01,Premium
P00057,Adi Ramadhan,Denpasar,2023-06-10,Reguler
P00058,Maya Wijaya,Depok,2025-08-20,Member
P00059,Adi Puspita,Makassar,2024-12-09,Reguler
P00060,Udin Hartono,Bandung,2025-04-06,Member
P00061,Hesti Hartono,Depok,2024-02-14,Reguler
P00062,Oki Saputra,Surabaya,2024-12-09,Reguler
P00063,Zaki Hartono,Makassar,2023-08-19,Reguler
P00064,Lestari Aditya,Malang,2024-07-13,Member
P00065,Oki Lestari,Tangerang Selatan,2025-03-02,Reguler
P00066,Yanti Nugroho,Jakarta Barat,2025-08-17,Member
P00067,Jihan Halim,Bandung,2023-02-14,Reguler
P00068,Citra Halim,Depok,2024-12-01,Reguler
P00069,Putri Kusuma,Yogyakarta,2025-03-23,Reguler
P00070,Sari Permana,Jakarta Selatan,2024-11-22,Member
P00071,Putri Hartono,Denpasar,2023-03-09,Reguler
P00072,Vina Anggraini,Yogyakarta,2023-07-24,Reguler
P00073,Mila Suryani,Jakarta Selatan,2024-11-25,Premium
P00074,Maya Lestari,Depok,2024-03-29,Reguler
P00075,Dian Aditya,Yogyakarta,2025-02-15,Member
P00076,Lestari Pratama,Tangerang Selatan,2025-08-07,Reguler
P00077,Yanti Ramadhan,Jakarta Selatan,2024-04-27,Reguler
P00078,Galih Anggraini,Semarang,2023-05-05,Premium
P00079,Vina Suryani,Bandung,2023-08-07,Reguler
P00080,Lestari Hartono,Makassar,2024-12-23,Reguler
P00081,Putri Rahayu,Jakarta Barat,2024-05-22,Member
P00082,Farah Pratama,Surabaya,2023-12-07,Reguler
P00083,Mila Firmansyah,Denpasar,2023-04-24,Reguler
P00084,Joko Suryani,Surabaya,2024-10-22,Member
P00085,Nanda Puspita,Depok,2025-02-13,Member
P00086,Rangga Firmansyah,Bandung,2023-06-30,Member
P00087,Zaki Ramadhan,Jakarta Barat,2024-05-17,Reguler
P00088,Okta Maulana,Yogyakarta,2024-03-29,Member
P00089,Udin Wijaya,Surabaya,2023-06-14,Reguler
P00090,Okta Firmansyah,Malang,2025-01-30,Reguler
P00091,Jihan Pratama,Denpasar,2023-07-19,Reguler
P00092,Zaki Nugroho,Yogyakarta,2024-01-09,Premium
P00093,Hana Nugroho,Jakarta Selatan,2024-05-06,Reguler
P00094,Irfan Nugroho,Jakarta Selatan,2024-08-03,Member
P00095,Oki Wijaya,Makassar,2023-03-29,Member
P00096,Maya Permana,Bandung,2024-04-30,Reguler
P00097,Citra Permana,Bandung,2023-11-19,Reguler
P00098,Oki Halim,Makassar,2023-08-13,Reguler
P00099,Vina Kusuma,Surabaya,2024-07-11,Member
P00100,Adi Halim,Denpasar,2023-07-29,Premium
P00101,Adi Puspita,Surabaya,2024-07-11,Member
P00102,Okta Setiawan,Tangerang Selatan,2023-08-09,Reguler
P00103,Nanda Hartono,Surabaya,2025-09-06,Reguler
P00104,Bayu Nugroho,Yogyakarta,2023-06-27,Premium
P00105,Tono Permana,Malang,2024-07-23,Member
P00106,Adi Gunawan,Semarang,2024-04-24,Member
P00107,Udin Setiawan,Jakarta Selatan,2025-05-31,Member
P00108,Mila Kusuma,Jakarta Selatan,2025-03-23,Reguler
P00109,Galih Permana,Jakarta Selatan,2023-03-27,Member
P00110,Okta Firmansyah,Denpasar,2025-02-25,Reguler
P00111,Fajar Aditya,Semarang,2024-03-26,Reguler
P00112,Fajar Saputra,Bandung,2023-10-18,Reguler
P00113,Hesti Hartono,Depok,2024-10-04,Reguler
P00114,Maya Permana,Yogyakarta,2024-05-29,Reguler
P00115,Budi Firmansyah,Jakarta Selatan,2023-05-03,Member
P00116,Tono Lestari,Bekasi,2024-07-03,Member
P00117,Putri Suryani,Bekasi,2025-08-06,Reguler
P00118,Fajar Hartono,Jakarta Selatan,2024-02-12,Premium
P00119,Vina Lestari,Yogyakarta,2023-12-14,Member
P00120,Lestari Halim,Jakarta Selatan,2024-01-06,Member
P00121,Farah Lestari,Surabaya,2023-01-20,Member
P00122,Bayu Permana,Jakarta Selatan,2023-08-05,Premium
P00123,Oki Gunawan,Surabaya,2024-07-03,Member
P00124,Nanda Hartono,Yogyakarta,2025-05-14,Reguler
P00125,Maya Permana,Tangerang Selatan,2025-04-11,Reguler
P00126,Eka Hartono,Tangerang Selatan,2023-04-03,Reguler
P00127,Kirana Kusuma,Surabaya,2023-06-26,Member
P00128,Bayu Gunawan,Depok,2025-04-29,Reguler
P00129,Hana Anggraini,Tangerang Selatan,2024-09-16,Member
P00130,Kirana Firmansyah,Denpasar,2025-09-02,Premium
P00131,Mila Saputra,Makassar,2024-01-10,Member
P00132,Joko Ramadhan,Depok,2025-03-26,Premium
P00133,Yanti Wijaya,Tangerang Selatan,2025-06-15,Member
P00134,Kirana Ramadhan,Jakarta Selatan,2025-07-16,Member
P00135,Irfan Lestari,Yogyakarta,2025-09-16,Reguler
P00136,Hesti Aditya,Bekasi,2023-07-18,Reguler
P00137,Wahyu Santoso,Bekasi,2024-02-08,Member
P00138,Rangga Kusuma,Jakarta Selatan,2025-07-24,Member
P00139,Udin Saputra,Surabaya,2023-04-14,Reguler
P00140,Gita Kusuma,Denpasar,2023-02-23,Reguler
P00141,Wahyu Aditya,Bekasi,2024-12-10,Reguler
P00142,Dian Halim,Semarang,2025-06-02,Reguler
P00143,Irfan Santoso,Bandung,2025-05-10,Reguler
P00144,Udin Firmansyah,Yogyakarta,2023-08-02,Reguler
P00145,Joko Halim,Tangerang Selatan,2025-08-09,Reguler
P00146,Galih Rahayu,Makassar,2023-04-27,Reguler
P00147,Yanti Permana,Semarang,2024-04-16,Reguler
P00148,Tono Firmansyah,Tangerang Selatan,2023-03-08,Member
P00149,Fajar Permana,Yogyakarta,2023-11-20,Premium
P00150,Yanti Ramadhan,Makassar,2025-06-23,Reguler
P00151,Joko Pratama,Yogyakarta,2023-08-03,Member
P00152,Kartika Aditya,Makassar,2023-05-23,Member
P00153,Yanti Santoso,Denpasar,2023-01-27,Premium
P00154,Galih Setiawan,Jakarta Barat,2024-08-01,Reguler
P00155,Kirana Setiawan,Jakarta Barat,2024-07-15,Reguler
P00156,Dian Firmansyah,Bandung,2024-06-29,Reguler
P00157,Putri Suryani,Malang,2025-07-15,Member
P00158,Zaki Kusuma,Tangerang Selatan,2024-07-02,Reguler
P00159,Galih Gunawan,Malang,2025-07-18,Member
P00160,Eka Hartono,Makassar,2023-03-19,Premium
P00161,Wahyu Maulana,Depok,2024-06-19,Reguler
P00162,Adi Rahayu,Yogyakarta,2023-08-27,Premium
P00163,Okta Wijaya,Jakarta Barat,2024-06-30,Reguler
P00164,Budi Saputra,Semarang,2024-08-02,Premium
P00165,Lestari Hartono,Depok,2023-11-20,Reguler
P00166,Naufal Pratama,Malang,2023-04-21,Reguler
P00167,Galih Santoso,Malang,2023-11-24,Premium
P00168,Jihan Aditya,Yogyakarta,2025-07-09,Reguler
P00169,Budi Rahayu,Semarang,2025-08-31,Reguler
P00170,Okta Halim,Surabaya,2023-01-06,Premium
P00171,Lukman Kusuma,Tangerang Selatan,2025-01-16,Member
P00172,Nanda Maulana,Semarang,2024-05-05,Reguler
P00173,Kartika Santoso,Jakarta Selatan,2023-09-22,Member
P00174,Mila Lestari,Surabaya,2025-08-04,Member
P00175,Jihan Suryani,Jakarta Barat,2025-07-10,Reguler
P00176,Lukman Permana,Semarang,2025-08-10,Reguler
P00177,Fajar Gunawan,Semarang,2025-03-04,Reguler
P00178,Putri Maulana,Surabaya,2024-01-17,Reguler
P00179,Mila Puspita,Jakarta Barat,2024-10-24,Member
P00180,Irfan Gunawan,Denpasar,2024-07-20,Reguler
P00181,Naufal Santoso,Jakarta Selatan,2025-05-31,Reguler
P00182,Dewi Permana,Surabaya,2024-12-30,Reguler
P00183,Hana Puspita,Jakarta Selatan,2023-09-16,Member
P00184,Farah Aditya,Yogyakarta,2023-04-29,Member
P00185,Hana Lestari,Jakarta Barat,2023-04-10,Reguler
P00186,Lestari Pratama,Jakarta Selatan,2023-04-08,Reguler
P00187,Dian Aditya,Semarang,2023-12-30,Reguler
P00188,Maya Permana,Depok,2024-08-16,Reguler
P00189,Fajar Firmansyah,Jakarta Selatan,2025-04-22,Reguler
P00190,Wahyu Maulana,Surabaya,2024-04-24,Reguler
P00191,Bayu Suryani,Surabaya,2025-04-17,Reguler
P00192,Nanda Maulana,Bandung,2023-12-11,Member
P00193,Indra Maulana,Bekasi,2025-07-06,Reguler
P00194,Dewi Kusuma,Bandung,2023-02-18,Reguler
P00195,Adi Ramadhan,Bekasi,2023-05-14,Member
P00196,Fajar Puspita,Denpasar,2024-11-24,Reguler
P00197,Vina Kusuma,Jakarta Selatan,2023-08-21,Reguler
P00198,Budi Kusuma,Surabaya,2024-09-19,Member
P00199,Yanti Kusuma,Jakarta Selatan,2023-10-09,Reguler
P00200,Rangga Nugroho,Surabaya,2025-09-21,Reguler
P00201,Tono Rahayu,Depok,2024-11-19,Reguler
P00202,Tono Hartono,Jakarta Selatan,2023-07-12,Reguler
P00203,Udin Santoso,Surabaya,2024-04-15,Reguler
P00204,Joko Firmansyah,Makassar,2024-04-04,Reguler
P00205,Kirana Puspita,Jakarta Selatan,2025-07-28,Member
P00206,Maya Aditya,Bekasi,2024-08-19,Reguler
P00207,Farah Pratama,Jakarta Barat,2023-08-21,Reguler
P00208,Eka Rahayu,Makassar,2024-05-23,Reguler
P00209,Putri Anggraini,Jakarta Barat,2025-08-31,Member
P00210,Putri Aditya,Jakarta Selatan,2024-08-07,Reguler
P00211,Joko Puspita,Surabaya,2024-09-08,Member
P00212,Adi Suryani,Semarang,2024-11-09,Member
P00213,Bayu Nugroho,Tangerang Selatan,2024-09-08,Reguler
P00214,Kirana Gunawan,Jakarta Barat,2023-02-15,Member
P00215,Okta Kusuma,Semarang,2025-08-12,Reguler
P00216,Fajar Setiawan,Denpasar,2025-07-08,Reguler
P00217,Wahyu Halim,Malang,2024-03-26,Member
P00218,Farah Anggraini,Jakarta Selatan,2025-03-06,Member
P00219,Gita Halim,Bekasi,2025-08-01,Member
P00220,Galih Suryani,Bandung,2023-06-06,Member
P00221,Fajar Pratama,Tangerang Selatan,2024-01-08,Reguler
P00222,Gita Nugroho,Depok,2023-06-21,Reguler
P00223,Okta Pratama,Yogyakarta,2025-06-08,Reguler
P00224,Indra Halim,Bekasi,2023-10-10,Reguler
P00225,Gita Santoso,Surabaya,2024-12-05,Reguler
P00226,Joko Setiawan,Depok,2024-10-03,Member
P00227,Udin Halim,Surabaya,2025-08-15,Reguler
P00228,Eka Ramadhan,Malang,2023-07-24,Member
P00229,Budi Setiawan,Jakarta Selatan,2025-06-14,Member
P00230,Bayu Nugroho,Tangerang Selatan,2024-04-12,Reguler
P00231,Putri Permana,Jakarta Barat,2023-09-09,Reguler
P00232,Maya Ramadhan,Jakarta Selatan,2024-12-04,Member
P00233,Naufal Saputra,Bandung,2024-10-26,Reguler
P00234,Farah Puspita,Jakarta Barat,2025-08-25,Member
P00235,Zaki Wijaya,Makassar,2024-05-29,Reguler
P00236,Oki Santoso,Semarang,2025-03-20,Reguler
P00237,Citra Wijaya,Jakarta Selatan,2023-09-01,Member
P00238,Fajar Puspita,Surabaya,2025-01-04,Member
P00239,Eka Rahayu,Jakarta Selatan,2025-07-01,Member
P00240,Lestari Lestari,Jakarta Barat,2023-09-12,Member
P00241,Eka Aditya,Depok,2025-07-10,Premium
P00242,Kartika Ramadhan,Tangerang Selatan,2023-06-08,Premium
P00243,Joko Maulana,Bandung,2024-06-23,Reguler
P00244,Citra Ramadhan,Jakarta Barat,2023-06-19,Member
P00245,Zaki Santoso,Bandung,2023-02-20,Reguler
P00246,Farah Hartono,Denpasar,2024-06-03,Reguler
P00247,Tono Puspita,Bandung,2025-09-07,Premium
P00248,Yanti Rahayu,Makassar,2024-12-07,Reguler
P00249,Farah Hartono,Malang,2023-08-13,Member
P00250,Lestari Kusuma,Denpasar,2023-01-05,Reguler
P00251,Hana Saputra,Makassar,2024-11-01,Reguler
P00252,Indra Permana,Tangerang Selatan,2023-07-27,Reguler
P00253,Farah Ramadhan,Jakarta Selatan,2023-07-25,Premium
P00254,Mila Rahayu,Yogyakarta,2024-09-04,Member
P00255,Joko Anggraini,Depok,2024-11-22,Member
P00256,Galih Kusuma,Bekasi,2023-05-15,Reguler
P00257,Dewi Saputra,Makassar,2024-03-24,Member
P00258,Naufal Suryani,Depok,2024-12-05,Reguler
P00259,Dian Wijaya,Bandung,2024-05-12,Reguler
P00260,Budi Halim,Depok,2024-03-23,Member
P00261,Putri Puspita,Makassar,2025-01-02,Member
P00262,Maya Setiawan,Semarang,2024-02-12,Member
P00263,Indra Kusuma,Bandung,2025-07-28,Reguler
P00264,Hana Wijaya,Bandung,2025-04-20,Reguler
P00265,Yanti Puspita,Tangerang Selatan,2024-02-19,Member
P00266,Lestari Rahayu,Bekasi,2025-03-15,Member
P00267,Tono Halim,Jakarta Barat,2025-02-22,Reguler
P00268,Lukman Halim,Bekasi,2025-07-15,Reguler
P00269,Zaki Aditya,Surabaya,2024-01-04,Reguler
P00270,Gita Nugroho,Malang,2023-08-28,Premium
P00271,Mila Santoso,Surabaya,2024-08-20,Member
P00272,Okta Halim,Yogyakarta,2025-05-14,Premium
P00273,Lestari Nugroho,Jakarta Selatan,2024-08-03,Member
P00274,Oki Gunawan,Surabaya,2025-05-25,Member
P00275,Bayu Firmansyah,Jakarta Selatan,2024-06-05,Member
P00276,Hana Anggraini,Bandung,2023-07-13,Reguler
P00277,Adi Lestari,Bandung,2024-01-09,Reguler
P00278,Mila Ramadhan,Surabaya,2024-05-21,Reguler
P00279,Putri Pratama,Bandung,2023-11-26,Reguler
P00280,Maya Maulana,Jakarta Selatan,2024-03-14,Member
P00281,Naufal Maulana,Semarang,2025-09-21,Member
P00282,Hana Pratama,Makassar,2023-12-30,Reguler
P00283,Zaki Nugroho,Jakarta Barat,2025-09-21,Member
P00284,Vina Gunawan,Yogyakarta,2024-12-29,Reguler
P00285,Sari Saputra,Denpasar,2023-02-02,Premium
P00286,Adi Rahayu,Denpasar,2023-02-02,Reguler
P00287,Oki Pratama,Tangerang Selatan,2025-05-21,Reguler
P00288,Dian Lestari,Jakarta Barat,2025-03-03,Member
P00289,Wahyu Aditya,Jakarta Selatan,2023-03-25,Reguler
P00290,Wahyu Wijaya,Makassar,2023-07-23,Reguler
P00291,Udin Rahayu,Jakarta Selatan,2023-02-28,Reguler
P00292,Yanti Hartono,Surabaya,2024-08-19,Member
P00293,Yanti Permana,Surabaya,2025-04-03,Reguler
P00294,Irfan Kusuma,Malang,2025-02-08,Member
P00295,Budi Wijaya,Jakarta Barat,2023-11-29,Member
P00296,Adi Saputra,Surabaya,2025-07-21,Reguler
P00297,Rangga Lestari,Surabaya,2024-11-02,Member
P00298,Dian Hartono,Tangerang Selatan,2024-03-05,Member
P00299,Citra Rahayu,Jakarta Selatan,2023-03-01,Reguler
P00300,Maya Halim,Surabaya,2024-06-19,Reguler
P00301,Indra Lestari,Denpasar,2023-02-13,Premium
P00302,Adi Hartono,Yogyakarta,2024-08-28,Premium
P00303,Zaki Nugroho,Malang,2023-03-22,Reguler
P00304,Nanda Pratama,Tangerang Selatan,2025-09-12,Reguler
P00305,Yanti Santoso,Jakarta Selatan,2024-06-13,Reguler
P00306,Hesti Maulana,Makassar,2023-02-02,Member
P00307,Mila Ramadhan,Tangerang Selatan,2024-04-26,Member
P00308,Dewi Nugroho,Makassar,2025-04-04,Reguler
P00309,Oki Ramadhan,Jakarta Barat,2025-05-25,Member
P00310,Dian Kusuma,Depok,2023-08-17,Reguler
P00311,Eka Setiawan,Jakarta Selatan,2025-03-22,Premium
P00312,Jihan Puspita,Depok,2024-10-23,Premium
P00313,Jihan Anggraini,Bandung,2024-07-20,Reguler
P00314,Fajar Hartono,Bekasi,2023-04-23,Member
P00315,Budi Maulana,Jakarta Barat,2024-06-22,Reguler
P00316,Zaki Maulana,Jakarta Selatan,2024-04-24,Member
P00317,Fajar Halim,Surabaya,2023-11-11,Reguler
P00318,Irfan Wijaya,Tangerang Selatan,2023-03-08,Member
P00319,Zaki Halim,Jakarta Selatan,2025-06-20,Premium
P00320,Vina Santoso,Jakarta Selatan,2023-12-21,Reguler
P00321,Tono Gunawan,Bandung,2023-05-14,Reguler
P00322,Sari Ramadhan,Tangerang Selatan,2025-04-11,Reguler
